frame_idx,image_file,image_stamp,cmd_stamp,dt_cmd,cmd_linear_x,cmd_angular_z,odom_stamp,dt_odom,odom_linear_x,odom_angular_z,width,height,encoding
0,images/000000.jpg,1774268051.315926552,1774268051.315813541,0.000113010,0.000000000,0.000000000,1774268051.299133778,0.016792774,0.000000000,0.002359249,640,480,rgb8
1,images/000001.jpg,1774268051.382623911,1774268051.375976086,0.006647825,0.000000000,0.000000000,1774268051.379096270,0.003527641,0.000000000,-0.001244259,640,480,rgb8
2,images/000002.jpg,1774268051.415972710,1774268051.415829659,0.000143051,0.000000000,0.000000000,1774268051.399084330,0.016888380,0.000000000,-0.000278244,640,480,rgb8
3,images/000003.jpg,1774268051.449321270,1774268051.435838699,0.013482571,0.000000000,0.000000000,1774268051.439044237,0.010277033,0.000000000,-0.002086634,640,480,rgb8
4,images/000004.jpg,1774268051.482669592,1774268051.475839615,0.006829977,0.000000000,0.000000000,1774268051.479045391,0.003624201,0.000000000,-0.001305182,640,480,rgb8
5,images/000005.jpg,1774268051.516018391,1774268051.515818357,0.000200033,0.000000000,0.000000000,1774268051.499043703,0.016974688,0.000000000,0.000198181,640,480,rgb8
6,images/000006.jpg,1774268051.549366713,1774268051.535820723,0.013545990,0.000000000,0.000000000,1774268051.539026022,0.010340691,0.000000000,0.001379464,640,480,rgb8
7,images/000007.jpg,1774268051.582715034,1774268051.575824499,0.006890535,0.000000000,0.000000000,1774268051.579040051,0.003674984,0.000000000,0.001712730,640,480,rgb8
8,images/000008.jpg,1774268051.616063118,1774268051.615826607,0.000236511,0.000000000,0.000000000,1774268051.599072218,0.016990900,0.000000000,0.001983053,640,480,rgb8
9,images/000009.jpg,1774268051.649411678,1774268051.635830879,0.013580799,0.000000000,0.000000000,1774268051.639025211,0.010386467,0.000000000,0.002872912,640,480,rgb8
10,images/000010.jpg,1774268051.682759762,1774268051.675817251,0.006942511,0.000000000,0.000000000,1774268051.679039240,0.003720522,0.000000000,0.003624325,640,480,rgb8
11,images/000011.jpg,1774268051.716107607,1774268051.715810537,0.000297070,0.000000000,0.000000000,1774268051.699025154,0.017082453,0.000000000,0.002884782,640,480,rgb8
12,images/000012.jpg,1774268051.782803774,1774268051.775817871,0.006985903,0.000000000,0.000000000,1774268051.779094696,0.003709078,0.000000000,0.002209256,640,480,rgb8
13,images/000013.jpg,1774268051.816151857,1774268051.815812588,0.000339270,0.000000000,0.000000000,1774268051.799044132,0.017107725,0.000000000,0.003741667,640,480,rgb8
14,images/000014.jpg,1774268051.849499464,1774268051.835817575,0.013681889,0.000000000,0.000000000,1774268051.839053631,0.010445833,0.000000000,0.006372948,640,480,rgb8
15,images/000015.jpg,1774268051.882847309,1774268051.875813723,0.007033587,0.000000000,0.000000000,1774268051.879061460,0.003785849,0.000000000,0.006012117,640,480,rgb8
16,images/000016.jpg,1774268051.916195154,1774268051.915813923,0.000381231,0.000000000,0.000000000,1774268051.899049997,0.017145157,0.000000000,0.004887282,640,480,rgb8
17,images/000017.jpg,1774268051.949542761,1774268051.935827971,0.013714790,0.000000000,0.000000000,1774268051.939052343,0.010490417,0.000000000,0.004551562,640,480,rgb8
18,images/000018.jpg,1774268051.982890368,1774268051.975824833,0.007065535,0.000000000,0.000000000,1774268051.979053974,0.003836393,0.000000000,0.001211850,640,480,rgb8
19,images/000019.jpg,1774268052.016237974,1774268052.015817404,0.000420570,0.000000000,0.000000000,1774268051.999039650,0.017198324,0.000000000,0.001582776,640,480,rgb8
20,images/000020.jpg,1774268052.049585342,1774268052.035812140,0.013773203,0.000000000,0.000000000,1774268052.039035559,0.010549784,0.000000000,0.002356611,640,480,rgb8
21,images/000021.jpg,1774268052.082932949,1774268052.075809240,0.007123709,0.000000000,0.000000000,1774268052.079040766,0.003892183,0.000000000,0.001786024,640,480,rgb8
22,images/000022.jpg,1774268052.116280317,1774268052.115807056,0.000473261,0.000000000,0.000000000,1774268052.099073648,0.017206669,0.000000000,0.001619531,640,480,rgb8
